Category,Count
2,1170
139,470
166,363
14,362
194,302
225,285
62,277
221,268
164,237
1,235
15,228
148,206
63,184
227,170
12,166
191,138
167,123
129,119
160,92
189,88
186,87
161,77
216,75
11,75
205,74
230,72
31,72
162,69
55,68
140,68
152,68
38,67
150,67
163,67
217,67
9,66
59,65
121,65
156,65
147,64
7,64
92,63
155,62
185,61
142,61
159,61
82,61
173,61
57,60
58,60
141,59
29,59
165,59
204,58
5,58
206,57
71,57
8,57
113,57
40,56
215,56
190,56
137,56
69,56
44,56
107,55
43,55
10,55
128,54
131,54
20,53
42,53
143,53
109,53
46,52
66,52
130,52
51,52
99,52
114,52
135,52
96,52
218,52
224,52
201,52
145,52
52,52
86,51
67,51
25,51
95,51
213,51
125,51
182,51
212,51
26,51
18,51
115,50
35,50
144,50
48,50
200,50
21,50
53,50
56,50
203,50
102,50
199,50
214,50
6,50
3,50
73,50
111,50
149,50
100,50
158,50
41,50
118,50
81,50
119,50
47,50
76,50
226,50
85,50
97,50
16,50
34,49
176,48
180,47
146,47
136,46
68,46
157,45
54,45
33,45
188,45
108,45
197,44
24,44
123,44
72,44
127,43
154,42
84,42
23,41
181,40
83,40
74,38
22,38
45,38
198,37
122,36
124,36
39,36
91,35
36,34
88,33
202,33
193,33
138,32
65,32
60,32
79,31
32,31
229,30
13,30
110,29
187,29
87,29
17,29
70,28
30,26
220,25
37,25
223,25
169,24
64,23
132,23
28,23
4,23
219,22
178,22
75,22
78,22
126,21
61,21
80,21
105,20
183,20
19,17
174,13
