material_id;icsd_id;icsd_ids;spacegroup;crystal_system;volume;nsites;unit_cell_formula;pretty_formula;elements;nelements;energy;energy_per_atom;formation_energy_per_atom;e_above_hull;band_gap;is_hubbard;hubbards;is_compatible;elasticity;piezo;diel;density;total_magnetization;oxide_type;warnings;task_ids;tags;has_band_structure
mp-10139;;[167912, 44585, 167913, 167914];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'};cubic;101.10019742365104;5;{'Sc': 3.0, 'Sn': 1.0, 'B': 1.0};Sc3SnB;['Sc', 'Sn', 'B'];3;-32.72898362;-6.545796724000001;-0.6119781366666665;0.0077515721666667;0.0;False;{};True;{'G_Reuss': 68.0, 'G_VRH': 69.0, 'G_Voigt': 70.0, 'G_Voigt_Reuss_Hill': 69.0, 'K_Reuss': 83.0, 'K_VRH': 83.0, 'K_Voigt': 83.0, 'K_Voigt_Reuss_Hill': 83.0, 'elastic_anisotropy': 0.12, 'elastic_tensor': [[194.0, 27.0, 27.0, 0.0, 0.0, 0.0], [27.0, 194.0, 27.0, 0.0, 0.0, 0.0], [27.0, 27.0, 194.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 61.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 61.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 61.0]], 'homogeneous_poisson': 0.17, 'poisson_ratio': 0.17, 'universal_anisotropy': 0.12, 'elastic_tensor_original': [[193.91022512862082, 27.031733047844543, 27.031733047844543, 0.0, 0.0, 0.0], [27.059974046003436, 193.9392922505189, 27.059974046003436, 0.0, 0.0, 0.0], [27.08744377371587, 27.08744377371587, 193.96531773245772, 0.0, 0.0, 0.0], [0.00021613017391305914, -4.889939744832381e-05, 0.0002197106151439469, 60.89289196076547, 0.0, 0.0], [-0.001894204558581415, -0.0016463918689247265, -0.0017269685963308334, 0.0, 60.893304783822266, 0.0], [0.00034738045858966537, -0.0001418859258542134, 7.918476654097642e-05, 0.0, 0.0, 60.893146093654615]], 'compliance_tensor': [[5.3, -0.7, -0.7, 0.0, -0.0, 0.0], [-0.7, 5.3, -0.7, 0.0, -0.0, -0.0], [-0.7, -0.7, 5.3, -0.0, 0.0, -0.0], [0.0, 0.0, -0.0, 16.4, -0.0, 0.0], [-0.0, -0.0, 0.0, -0.0, 16.4, -0.0], [0.0, -0.0, -0.0, 0.0, -0.0, 16.4]], 'warnings': [], 'nsites': 5};;;4.342502152169774;0.0025938;None;[];['mp-910319', 'mp-926163', 'mp-926702', 'mp-10139', 'mp-1438803', 'mp-1596069', 'mp-1696710'];['High pressure experimental phase', 'Scandium tin boride (3/1/1)'];True
mp-10164;;[44702];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mcm', 'number': 140, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2c'};tetragonal;236.71393178322404;8;{'Na': 2.0, 'Ga': 2.0, 'Te': 4.0};NaGaTe2;['Ga', 'Na', 'Te'];3;-25.94290536;-3.24286317;-0.58613447375;0.0062784774999999;0.3955000000000002;False;{};True;;;{'e_electronic': [[12.132291219126815, -8.975023475521482e-07, -9.422525644176005e-07], [-8.975023475521482e-07, 8.67326982258832, -2.976624990935761e-07], [-9.422525644176005e-07, -2.976624990935761e-07, 8.673269958284875]], 'e_total': [[27.707220705630327, -1.8925506717337726e-06, -1.986914829110731e-06], [-1.8925506717337726e-06, 18.289203004161777, -6.27676756792539e-07], [-1.98691482955482e-06, -6.276767550161821e-07, 18.289203290303206]], 'n': 3.1346892987982087, 'poly_electronic': 9.826277000000005, 'poly_total': 21.4285423333651};4.881189212703327;2.995e-05;None;[];['mp-671522', 'mp-843243', 'mp-662180', 'mp-10164', 'mp-1140160', 'mp-1300024', 'mp-1599996', 'mp-1671208'];['Sodium gallium telluride'];True
mp-10756;;[152794];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'};cubic;56.0853563997992;3;{'V': 1.0, 'Fe': 1.0, 'Sb': 1.0};VFeSb;['V', 'Fe', 'Sb'];3;-20.98281359;-6.994271196666666;0.2326130683333337;0.4445907399999997;0.0;False;{};True;{'G_Reuss': 1.0, 'G_VRH': 3.0, 'G_Voigt': 5.0, 'G_Voigt_Reuss_Hill': 3.0, 'K_Reuss': 68.0, 'K_VRH': 68.0, 'K_Voigt': 68.0, 'K_Voigt_Reuss_Hill': 68.0, 'elastic_anisotropy': 45.28, 'elastic_tensor': [[84.0, 60.0, 60.0, 0.0, 0.0, 0.0], [60.0, 84.0, 60.0, 0.0, 0.0, 0.0], [60.0, 60.0, 84.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], 'homogeneous_poisson': 0.48, 'poisson_ratio': 0.48, 'universal_anisotropy': 45.28, 'elastic_tensor_original': [[84.16275322050639, 59.68585692248176, 59.68585692248176, 0.0, 0.0, 0.0], [59.68585692248176, 84.16275322050639, 59.68585692248176, 0.0, 0.0, 0.0], [59.68585692248176, 59.68585692248176, 84.16275322050639, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3082257410270924, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30822574102709255, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.30822574102709255]], 'compliance_tensor': [[28.9, -12.0, -12.0, 0.0, -0.0, 0.0], [-12.0, 28.9, -12.0, -0.0, 0.0, -0.0], [-12.0, -12.0, 28.9, 0.0, 0.0, 0.0], [0.0, -0.0, 0.0, 3244.4, 0.0, -0.0], [-0.0, 0.0, 0.0, 0.0, 3244.4, -0.0], [0.0, -0.0, 0.0, -0.0, -0.0, 3244.4]], 'warnings': ['One or more K, G below 2 GPa'], 'nsites': 3};;;6.7666573976884905;0.6013224;None;[];['mp-918700', 'mp-10756', 'mp-905684', 'mp-919713', 'mp-1438865', 'mp-1592726', 'mp-1688135'];['Vanadium iron antimonide (1/1/1)'];True
mp-1101;;[611523, 611521, 43647];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'};cubic;47.55055740336901;2;{'Tm': 1.0, 'As': 1.0};TmAs;['Tm', 'As'];2;-12.12934229;-6.064671145;-1.4978879166666663;0.0;0.0;False;{};True;{'G_Reuss': 52.0, 'G_VRH': 55.0, 'G_Voigt': 58.0, 'G_Voigt_Reuss_Hill': 55.0, 'K_Reuss': 80.0, 'K_VRH': 80.0, 'K_Voigt': 80.0, 'K_Voigt_Reuss_Hill': 80.0, 'elastic_anisotropy': 0.58, 'elastic_tensor': [[191.0, 25.0, 25.0, 0.0, 0.0, 0.0], [25.0, 191.0, 25.0, 0.0, 0.0, 0.0], [25.0, 25.0, 191.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 42.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 42.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 42.0]], 'homogeneous_poisson': 0.22, 'poisson_ratio': 0.22, 'universal_anisotropy': 0.58, 'elastic_tensor_original': [[190.9193802758262, 25.090072957571344, 25.090072957571344, 0.0, 0.0, 0.0], [25.0883365380876, 190.9208910169406, 25.0883365380876, 0.0, 0.0, 0.0], [25.08824791546263, 25.08824791546263, 190.9209965845068, 0.0, 0.0, 0.0], [3.925664936433802e-05, -2.708332139651332e-05, -4.409331389964864e-05, 41.86532132802802, 0.0, 0.0], [4.426664715624484e-05, 1.2683327742746545e-05, -3.436665151990189e-05, 0.0, 41.865226358069876, 0.0], [-3.122331957181767e-05, 0.00010675661961399265, 1.3753327271166248e-05, 0.0, 0.0, 41.86524547139478]], 'compliance_tensor': [[5.4, -0.6, -0.6, 0.0, -0.0, -0.0], [-0.6, 5.4, -0.6, -0.0, 0.0, -0.0], [-0.6, -0.6, 5.4, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 23.9, 0.0, 0.0], [-0.0, 0.0, -0.0, 0.0, 23.9, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 23.9]], 'warnings': ['Contains a rare earth element'], 'nsites': 2};;;8.515822342257065;0.0008552;None;[];['mp-913623', 'mp-930531', 'mp-929961', 'mp-1101', 'mp-1440011', 'mp-1593432', 'mp-1668170'];['Thulium arsenide )', 'Thulium arsenide'];True
mp-11114;;[281423];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/m', 'number': 11, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2yb'};monoclinic;412.0252560991976;16;{'K': 2.0, 'Cu': 2.0, 'Pd': 2.0, 'Se': 10.0};KCuPdSe5;['Cu', 'K', 'Pd', 'Se'];4;-62.50684693;-3.906677933125;-0.4234716899648436;0.0;1.0364;False;{};True;;;{'e_electronic': [[7.22962449149215, 0.0, -0.08392880473050934], [0.0, 11.455343, 0.0], [-0.0839298047305097, 0.0, 9.59766650850785]], 'e_total': [[12.795727302141545, 0.0, -0.03872586004154632], [0.0, 20.384351, 0.0], [-0.038726860041546685, 0.0, 13.432702697858456]], 'n': 3.0704306972583937, 'poly_electronic': 9.427544666666666, 'poly_total': 15.537593666666666};4.867372794417467;8.45e-06;None;[];['mp-718897', 'mp-706465', 'mp-843386', 'mp-11114', 'mp-1419832', 'mp-1542327', 'mp-1541243', 'mp-1608494', 'mp-1669315'];['Potassium palladium copper selenide (1/1/1/5)'];True
mp-11279;;[616457, 58743];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'};cubic;25.171969966926103;2;{'Ti': 1.0, 'Be': 1.0};TiBe;['Ti', 'Be'];2;-11.91460277;-5.957301385;-0.1400685324999999;0.0053773150000004;0.0;False;{};True;{'G_Reuss': 65.0, 'G_VRH': 75.0, 'G_Voigt': 84.0, 'G_Voigt_Reuss_Hill': 75.0, 'K_Reuss': 126.0, 'K_VRH': 126.0, 'K_Voigt': 126.0, 'K_Voigt_Reuss_Hill': 126.0, 'elastic_anisotropy': 1.4, 'elastic_tensor': [[179.0, 99.0, 99.0, 0.0, 0.0, 0.0], [99.0, 179.0, 99.0, 0.0, 0.0, 0.0], [99.0, 99.0, 179.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 113.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 113.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 113.0]], 'homogeneous_poisson': 0.25, 'poisson_ratio': 0.25, 'universal_anisotropy': 1.4, 'elastic_tensor_original': [[179.42002829998776, 99.12693275827519, 99.12693275827519, 0.0, 0.0, 0.0], [99.12798442507481, 179.42087973742417, 99.12798442507481, 0.0, 0.0, 0.0], [99.1305593743747, 99.1305593743747, 179.42431855821874, 0.0, 0.0, 0.0], [4.24200066552923e-05, 4.1563339854335295e-05, 0.00010256668275705892, 112.82949342721946, 0.0, 0.0], [-4.269667336259228e-05, -8.165001280892913e-05, -0.00010237001605986746, 0.0, 112.82937412386744, 0.0], [0.00010425334968986321, 9.156334769748059e-05, 0.0001533966907314664, 0.0, 0.0, 112.82957970389965]], 'compliance_tensor': [[9.2, -3.3, -3.3, 0.0, 0.0, -0.0], [-3.3, 9.2, -3.3, -0.0, -0.0, -0.0], [-3.3, -3.3, 9.2, -0.0, 0.0, 0.0], [0.0, -0.0, -0.0, 8.9, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 8.9, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 8.9]], 'warnings': [], 'nsites': 2};;;3.752193567343008;0.0;None;[];['mp-11279', 'mp-1057605', 'mp-1057614', 'mp-1057636', 'mp-1057641', 'mp-912112', 'mp-928191', 'mp-928710', 'mp-1476081', 'mp-1596650', 'mp-1688527'];['Titanium beryllide (1/1)', 'Beryllium titanium (1/1)'];True
mp-11525;;[646985, 105428, 646996];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'};orthorhombic;152.99819378498958;8;{'Tm': 4.0, 'Ni': 4.0};TmNi;['Ni', 'Tm'];2;-45.03380536;-5.62922567;-0.5017855716666677;0.0;0.0;False;{};True;;;;9.882065394130745;0.0002339;None;[];['mp-912696', 'mp-929449', 'mp-929111', 'mp-11525', 'mp-1300287', 'mp-1593241', 'mp-1688262'];['Nickel thulium (1/1)'];True
mp-11714;;[164971];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'};hexagonal;83.96315911398418;8;{'Si': 4.0, 'C': 4.0};SiC;['Si', 'C'];2;-60.24429409;-7.53053676125;-0.2054565237499996;0.0002311992500017;2.3298000000000005;False;{};True;{'G_Reuss': 184.0, 'G_VRH': 187.0, 'G_Voigt': 189.0, 'G_Voigt_Reuss_Hill': 187.0, 'K_Reuss': 214.0, 'K_VRH': 214.0, 'K_Voigt': 214.0, 'K_Voigt_Reuss_Hill': 214.0, 'elastic_anisotropy': 0.13, 'elastic_tensor': [[490.0, 104.0, 50.0, 0.0, 0.0, 0.0], [104.0, 490.0, 50.0, 0.0, 0.0, 0.0], [50.0, 50.0, 533.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 158.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 158.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 193.0]], 'homogeneous_poisson': 0.16, 'poisson_ratio': 0.16, 'universal_anisotropy': 0.13, 'elastic_tensor_original': [[490.6813652258907, 103.1161803940425, 50.11242467494352, 0.0, 0.0, 0.0], [104.32335205360035, 491.4139131176979, 50.39546402494291, 0.0, 0.0, 0.0], [50.497300449625605, 50.4973267864673, 533.3453392330275, 0.0, 0.0, 0.0], [-1.9733282270282552e-05, -2.165002084129257e-05, -1.1356684917684748e-05, 157.9015269054615, 0.0, 0.0], [-7.873267652978823e-06, 1.7163358327509176e-05, 1.563998793617016e-05, 0.0, 157.8857684680607, 0.0], [-0.0040822479215821515, -0.0019344420272499115, -6.297017578987566e-05, 0.0, 0.0, 192.43705914868903]], 'compliance_tensor': [[2.1, -0.4, -0.2, -0.0, -0.0, 0.0], [-0.4, 2.1, -0.2, 0.0, 0.0, 0.0], [-0.2, -0.2, 1.9, 0.0, -0.0, -0.0], [-0.0, 0.0, 0.0, 6.3, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 6.3, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 5.2]], 'warnings': [], 'nsites': 8};{'eij_max': 0.06423169544702993, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, -0.06357999445961107, 0.0], [0.0, 0.0, 0.0, -0.06358000416636082, 0.0, 0.0], [0.010969999162605902, 0.010970000837394292, -0.062329999999999997, 0.0, 0.0, 0.0]], 'v_max': [0.0, -0.0, -1.0]};{'e_electronic': [[7.02573096369127, 1.7371518935036535e-16, 0.0], [1.7371518935036535e-16, 7.025732036308732, 0.0], [0.0, 0.0, 7.318499000000002]], 'e_total': [[10.300488213713015, 2.5970230289696416e-16, -5.646886315028669e-22], [2.5970230289696416e-16, 10.300489786287253, 0.0], [-5.646886315028669e-22, 0.0, 10.971279000000003]], 'n': 2.668954976515465, 'poly_electronic': 7.123320666666668, 'poly_total': 10.524085666666757};3.1719295569534;0.0;None;[];['mp-658447', 'mp-11714', 'mp-663667', 'mp-678702', 'mp-1124978', 'mp-1132851', 'mp-1141643', 'mp-1114781', 'mp-1385294', 'mp-1626146', 'mp-1760410'];['Silicon carbide - 4H', 'Moissanite 4H'];True
mp-11755;;[98974];{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-62m', 'number': 189, 'point_group': '-6m2', 'crystal_system': 'hexagonal', 'hall': 'P -6 -2'};hexagonal;237.77834684889012;9;{'Lu': 6.0, 'Sb': 2.0, 'Mo': 1.0};Lu6Sb2Mo;['Lu', 'Sb', 'Mo'];3;-51.00667379;-5.667408198888889;-0.5308151511111111;0.0;0.0;False;{};True;{'G_Reuss': 35.0, 'G_VRH': 37.0, 'G_Voigt': 38.0, 'G_Voigt_Reuss_Hill': 37.0, 'K_Reuss': 63.0, 'K_VRH': 63.0, 'K_Voigt': 63.0, 'K_Voigt_Reuss_Hill': 63.0, 'elastic_anisotropy': 0.38, 'elastic_tensor': [[106.0, 45.0, 43.0, 0.0, 0.0, 0.0], [45.0, 106.0, 43.0, 0.0, 0.0, 0.0], [43.0, 43.0, 92.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 51.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 51.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 31.0]], 'homogeneous_poisson': 0.26, 'poisson_ratio': 0.26, 'universal_anisotropy': 0.38, 'elastic_tensor_original': [[106.25714632027457, 45.232092062655234, 43.22418840120446, 0.0, 0.0, 0.0], [45.3141528739837, 105.80612378599974, 43.04965154260673, 0.0, 0.0, 0.0], [42.60684962447296, 42.60684402451543, 92.10359818864646, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 50.55525007861687, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 50.51166189811531, 0.0], [4.444972124106796e-08, 0.0, 0.0, 0.0, 0.0, 30.772308948211577]], 'compliance_tensor': [[12.7, -3.7, -4.2, 0.0, 0.0, -0.0], [-3.7, 12.7, -4.2, 0.0, 0.0, -0.0], [-4.2, -4.2, 14.7, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 19.8, -0.0, 0.0], [0.0, 0.0, 0.0, -0.0, 19.8, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 32.7]], 'warnings': ['Contains a rare earth element'], 'nsites': 9};;;9.701992865687286;0.0004045;None;[];['mp-930133', 'mp-11755', 'mp-913064', 'mp-929620', 'mp-1115709', 'mp-1417071', 'mp-1600222', 'mp-1695293'];['Lutetium molybdenum antimonide (6/1/2)'];True
mp-13064;;[160213];"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-3m1', 'number': 164, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-P 3 2""'}";trigonal;68.9637196918314;5;{'Dy': 2.0, 'O': 3.0};Dy2O3;['Dy', 'O'];2;-41.73525958;-8.347051916;-3.95693789875;0.0619206779999998;4.2876;False;{};True;;;;8.981216292265104;1.27e-05;oxide;[];['mp-656710', 'mp-660103', 'mp-655203', 'mp-13064', 'mp-1413655', 'mp-1613236', 'mp-1767456'];[];True
