SpaceGroupNumber,SpaceGroupSymbol,Count
1,P1,235
2,P-1,1170
3,P121,50
4,P12_11,23
5,C121,58
6,P1m1,50
7,P1c1,64
8,C1m1,57
9,C1c1,66
10,P12/m1,55
11,P12_1/m1,75
12,C12/m1,166
13,P12/c1,30
14,P12_1/c1,362
15,C12/c1,228
16,P222,50
17,P222_1,29
18,P2_12_12,51
19,P2_12_12_1,17
20,C222_1,53
21,C222,50
22,F222,38
23,I222,41
24,I2_12_12_1,44
25,Pmm2,51
26,Pmc2_1,51
28,Pma2,23
29,Pca2_1,59
30,Pnc2,26
31,Pmn2_1,72
32,Pba2,31
33,Pna2_1,45
34,Pnn2,49
35,Cmm2,50
36,Cmc2_1,34
37,Ccc2,25
38,Amm2,67
39,Aem2,36
40,Ama2,56
41,Aea2,50
42,Fmm2,53
43,Fdd2,55
44,Imm2,56
45,Iba2,38
46,Ima2,52
47,Pmmm,50
48,Pnnn,50
51,Pmma,52
52,Pnna,52
53,Pmna,50
54,Pcca,45
55,Pbam,68
56,Pccn,50
57,Pbcm,60
58,Pnnm,60
59,Pmmn,65
60,Pbcn,32
61,Pbca,21
62,Pnma,277
63,Cmcm,184
64,Cmce,23
65,Cmmm,32
66,Cccm,52
67,Cmme,51
68,Ccce,46
69,Fmmm,56
70,Fddd,28
71,Immm,57
72,Ibam,44
73,Ibca,50
74,Imma,38
75,P4,22
76,P4_1,50
78,P4_3,22
79,I4,31
80,I4_1,21
81,P-4,50
82,I-4,61
83,P4/m,40
84,P4_2/m,42
85,P4/n,50
86,P4_2/n,51
87,I4/m,29
88,I4_1/a,33
91,P4_122,35
92,P4_12_12,63
95,P4_322,51
96,P4_32_12,52
97,I422,50
98,I4_122,0
99,P4mm,52
100,P4bm,50
102,P4_2nm,50
105,P4_2mc,20
107,I4mm,55
108,I4cm,45
109,I4_1md,53
110,I4_1cd,29
111,P-42m,50
113,P-42_1m,57
114,P-42_1c,52
115,P-4m2,50
118,P-4n2,50
119,I-4m2,50
121,I-42m,65
122,I-42d,36
123,P4/mmm,44
124,P4/mcc,36
125,P4/nbm,51
126,P4/nnc,21
127,P4/mbm,43
128,P4/mnc,54
129,P4/nmm,119
130,P4/ncc,52
131,P4_2/mmc,54
132,P4_2/mcm,23
135,P4_2/mbc,52
136,P4_2/mnm,46
137,P4_2/nmc,56
138,P4_2/ncm,32
139,I4/mmm,470
140,I4/mcm,68
141,I4_1/amd,59
142,I4_1/acd,61
143,P3,53
144,P3_1,50
145,P3_2,52
146,R3,47
147,P-3,64
148,R-3,206
149,P312,50
150,P321,67
152,P3_121,68
154,P3_221,42
155,R32,62
156,P3m1,65
157,P31m,45
158,P3c1,50
159,P31c,61
160,R3m,92
161,R3c,77
162,P-31m,69
163,P-31c,67
164,P-3m1,237
165,P-3c1,59
166,R-3m,363
167,R-3c,123
169,P6_1,24
173,P6_3,61
174,P-6,13
176,P6_3/m,48
178,P6_122,22
180,P6_222,47
181,P6_422,40
182,P6_322,51
183,P6mm,20
185,P6_3cm,61
186,P6_3mc,87
187,P-6m2,29
188,P-6c2,45
189,P-62m,88
190,P-62c,56
191,P6/mmm,138
193,P6_3/mcm,33
194,P6_3/mmc,302
197,I23,44
198,P2_13,37
199,I2_13,50
200,Pm-3,50
201,Pn-3,52
202,Fm-3,33
203,Fd-3,50
204,Im-3,58
205,Pa-3,74
206,Ia-3,57
212,P4_332,51
213,P4_132,51
214,I4_132,50
215,P-43m,56
216,F-43m,75
217,I-43m,67
218,P-43n,52
219,F-43c,22
220,I-43d,25
221,Pm-3m,268
223,Pm-3n,25
224,Pn-3m,52
225,Fm-3m,285
226,Fm-3c,50
227,Fd-3m,170
229,Im-3m,30
230,Ia-3d,72
